city,lat,lng,country,population
Maebashi,36.3833,139.0667,Japan,331576.0
Thessaloníki,40.6403,22.9356,Greece,315196.0
Gəncə,40.6828,46.3606,Azerbaijan,331400.0
Bilāspur,22.15,82.0167,India,331030.0
Santa Ana,33.7366,-117.8819,United States,332318.0
Mymensingh,24.7504,90.38,Bangladesh,330126.0
Al Fayyūm,29.3,30.8333,Egypt,315940.0
Flint,43.0235,-83.6922,United States,332190.0
Kendari,-3.9675,122.5947,Indonesia,331013.0
Balıkesir,39.6511,27.8842,Turkey,331788.0
Az Zaqāzīq,30.5667,31.5,Egypt,302840.0
Thái Nguyên,21.6,105.85,Vietnam,330000.0
Smolensk,54.7828,32.0453,Russia,329853.0
Asahikawa,43.7706,142.365,Japan,331392.0
Islip,40.7384,-73.1887,United States,331499.0
Wŏnju,37.3417,127.9208,"Korea, South",330854.0
Dahūk,36.85,42.9833,Iraq,330600.0
Batangas,13.75,121.05,Philippines,329874.0
Mathura,27.4833,77.6833,India,330511.0
Barishal,22.7,90.3667,Bangladesh,328278.0
Bamiantong,44.9164,130.5212,China,330000.0
Patiāla,30.3204,76.385,India,329224.0
Cainta,14.5667,121.1167,Philippines,322128.0
Bonn,50.7339,7.0997,Germany,327258.0
São José dos Pinhais,-25.535,-49.2058,Brazil,329058.0
Vũng Tàu,10.4042,107.1417,Vietnam,327000.0
Markham,43.8767,-79.2633,Canada,328966.0
Saugor,23.8504,78.75,India,328240.0
Malmö,55.5932,13.0214,Sweden,324002.0
Roodepoort,-26.1625,27.8725,South Africa,326416.0
Gómez Palacio,25.5611,-103.4983,Mexico,327985.0
Volzhskiy,48.7833,44.7667,Russia,326055.0
Taourirt,34.41,-2.89,Morocco,321876.0
Bijāpur,16.8244,75.7154,India,327427.0
Sukabumi,-6.9197,106.9272,Indonesia,320970.0
Fayetteville,35.0846,-78.9776,United States,327435.0
Taytay,14.5692,121.1325,Philippines,319104.0
Ulanhot,46.0726,122.0719,China,327081.0
Nakuru,-0.2833,36.0667,Kenya,307990.0
Yunzhong,39.8143,113.0946,China,326849.0
Al Fallūjah,33.35,43.7833,Iraq,326471.0
Kōchi,33.5589,133.5314,Japan,325560.0
Boa Vista,2.82,-60.6719,Brazil,326419.0
Gwangmyeongni,37.4772,126.8664,"Korea, South",318021.0
Bari,41.1253,16.8667,Italy,323370.0
Pucallpa,-8.3833,-74.55,Peru,326040.0
Kuching,1.5397,110.3542,Malaysia,325132.0
Zinder,13.8,8.9833,Niger,322935.0
Caucaia,-3.7328,-38.6558,Brazil,325441.0
Gonder,12.6,37.4667,Ethiopia,323900.0
Jackson,32.3163,-90.2124,United States,325350.0
Mekele,13.4969,39.4769,Ethiopia,323700.0
Kulti,23.73,86.85,India,313809.0
Santa Rosa,38.4458,-122.7067,United States,324634.0
Gonaïves,19.4456,-72.6883,Haiti,324043.0
Lansing,42.7142,-84.5601,United States,324286.0
Naha,26.2122,127.6789,Japan,316048.0
Binxian,35.0364,108.0764,China,323256.0
San Juan,18.4037,-66.0636,Puerto Rico,323279.0
Lexington,38.0423,-84.4587,United States,323152.0
Hotan,37.1012,79.9327,China,322300.0
Uíge,-7.6167,15.05,Angola,322531.0
Newcastle,-32.9167,151.75,Australia,322278.0
Kurgan,55.4408,65.3411,Russia,322042.0
Kaiyuan,23.7147,103.2585,China,322693.0
Temara,33.9234,-6.9076,Morocco,313510.0
Uruapan,19.4208,-102.0628,Mexico,315350.0
Camagüey,21.3786,-77.9186,Cuba,321992.0
Ann Arbor,42.2755,-83.7312,United States,322267.0
San Salvador de Jujuy,-24.1856,-65.2994,Argentina,321789.0
Timişoara,45.7597,21.23,Romania,319279.0
Córdoba,37.8845,-4.7796,Spain,321376.0
Al Kūt,32.4907,45.8304,Iraq,321521.0
Tapachula,14.9,-92.2667,Mexico,320451.0
Shāhjānpur,27.8804,79.905,India,320434.0
Cherepovets,59.1333,37.9167,Russia,318856.0
San Miguelito,9.05,-79.5,Panama,315019.0
Menongue,-14.6585,17.691,Angola,320914.0
Poltava,49.5744,34.5686,Ukraine,317847.0
Henderson,36.0133,-115.038,United States,320189.0
Maroua,10.5823,14.3275,Cameroon,319941.0
Kaech’ŏn,39.6986,125.9061,"Korea, North",319554.0
Asan,36.35,126.9167,"Korea, South",319929.0
Coatzacoalcos,18.15,-94.4333,Mexico,319187.0
Huntsville,34.6988,-86.6412,United States,319249.0
Öskemen,49.99,82.6149,Kazakhstan,319067.0
Tampico,22.2553,-97.8686,Mexico,314418.0
Trichūr,10.52,76.21,India,315596.0
Cluj-Napoca,46.7667,23.6,Romania,316748.0
General Trias,14.3833,120.8833,Philippines,314303.0
Cirebon,-6.7167,108.5667,Indonesia,316126.0
Boaco,12.4722,-85.6586,Nicaragua,317000.0
Cà Mau,9.1833,105.15,Vietnam,315270.0
Cabuyao,14.275,121.125,Philippines,308745.0
Vologda,59.2167,39.9,Russia,313012.0
Saransk,54.1833,45.1833,Russia,314789.0
Mobile,30.6783,-88.1162,United States,315502.0
Bor,6.2167,31.55,South Sudan,315351.0
Münster,51.9625,7.6256,Germany,314319.0
Barddhamān,23.25,87.85,India,314265.0
Toshima,35.7333,139.7167,Japan,297954.0
Karlsruhe,49.0167,8.4,Germany,313092.0
Kasur,31.1167,74.45,Pakistan,314617.0
Yakou,33.2937,113.5203,China,313828.0
Orël,52.9686,36.0694,Russia,311625.0
Safi,32.2833,-9.2333,Morocco,308508.0
Shahr-e Qods,35.7214,51.1089,Iran,309605.0
Vitória da Conquista,-14.8661,-40.8394,Brazil,308204.0
Ḩamāh,35.1333,36.75,Syria,312994.0
Guarujá,-23.9936,-46.2564,Brazil,311230.0
Catania,37.5027,15.0873,Italy,311584.0
Purnea,25.78,87.47,India,310817.0
Datang,22.9476,113.9326,China,310889.0
Fort Collins,40.5478,-105.0656,United States,312666.0
Port Elizabeth,-33.9581,25.6,South Africa,312392.0
Alanya,36.5436,31.9997,Turkey,312319.0
Asheville,35.5704,-82.5536,United States,312507.0
Santa Clarita,34.4175,-118.4964,United States,312446.0
Gorgān,36.83,54.48,Iran,312223.0
Quy Nhơn,13.7696,109.2314,Vietnam,311000.0
Sambalpur,21.4704,83.9701,India,310852.0
Yokkaichi,34.9667,136.6167,Japan,310263.0
Chalco,19.2647,-98.8975,Mexico,310130.0
Mannheim,49.4878,8.4661,Germany,309370.0
Namp’o,38.7333,125.4,"Korea, North",310864.0
Shahrīār,35.6597,51.0592,Iran,309607.0
Cobán,15.4833,-90.3667,Guatemala,310102.0
Kasugai,35.25,136.9667,Japan,306449.0
Sapele,5.8904,5.68,Nigeria,309162.0
Blumenau,-26.9189,-49.0658,Brazil,309011.0
Sariwŏn,38.5039,125.7589,"Korea, North",307764.0
St. Catharines,43.1833,-79.2333,Canada,309319.0
Matadi,-5.8167,13.4833,Congo (Kinshasa),306053.0
Niagara Falls,43.06,-79.1067,Canada,308596.0
Fīrozābād,27.15,78.3949,India,306409.0
San Fernando,15.0333,120.6833,Philippines,306659.0
St. Paul,44.9477,-93.104,United States,308096.0
Vladikavkaz,43.04,44.6775,Russia,306978.0
Yakutsk,62.0272,129.7319,Russia,307911.0
Minna,9.6139,6.5569,Nigeria,304113.0
Hisar,29.1489,75.7367,India,307024.0
Puerto La Cruz,10.2167,-64.6167,Venezuela,306261.0
Podolsk,55.4297,37.5444,Russia,299660.0
Ciudad Victoria,23.7333,-99.1333,Mexico,305155.0
Ciudad del Este,-25.5167,-54.6167,Paraguay,304282.0
Vaughan,43.8333,-79.5,Canada,306233.0
Ōakashichō,34.6431,134.9975,Japan,299699.0
Pekalongan,-6.8883,109.6753,Indonesia,298386.0
Adıyaman,37.7644,38.2763,Turkey,304615.0
Vila Nova de Gaia,41.1333,-8.6167,Portugal,302295.0
Curepipe,-20.3162,57.5166,Mauritius,299975.0
Cabanatuan City,15.4833,120.9667,Philippines,302231.0
Paulista,-7.9408,-34.8728,Brazil,300466.0
Oaxaca,17.0833,-96.75,Mexico,300050.0
Armenia,4.5389,-75.6725,Colombia,301226.0
Akita,39.7197,140.1025,Japan,302984.0
San Bernardo,-33.6,-70.7167,Chile,301313.0
Wollongong,-34.4331,150.8831,Australia,302739.0
Brest,48.39,-4.49,France,300300.0
Awka,6.2,7.0667,Nigeria,301657.0
Iksan,35.9439,126.9544,"Korea, South",302310.0
Taubaté,-23.0333,-45.55,Brazil,302331.0
Antioch,37.9789,-121.7958,United States,302419.0
Lakeland,28.0556,-81.9545,United States,302284.0
Sóc Trăng,9.6,105.9719,Vietnam,300000.0
Āwasa,7.05,38.4667,Ethiopia,300100.0
Mardan,34.1958,72.0447,Pakistan,300424.0
Popayán,2.4411,-76.6061,Colombia,300837.0
Praia Grande,-24.0058,-46.4028,Brazil,299261.0
Qianzhou,28.3185,109.7318,China,301000.0
Cotabato,7.2167,124.25,Philippines,299438.0
Valladolid,41.6528,-4.7236,Spain,299265.0
Mossoró,-5.1878,-37.3439,Brazil,300618.0
Coatepeque,14.7,-91.8667,Guatemala,300000.0
Bīdar,17.9229,77.5175,India,300136.0
Białystok,53.1167,23.1667,Poland,297554.0
Mérida,8.5833,-71.1333,Venezuela,300000.0
Murmansk,68.9667,33.0833,Russia,298096.0
Ar Raqqah,35.95,39.0167,Syria,299824.0
Afyonkarahisar,38.7581,30.5386,Turkey,299673.0
Vigo,42.2314,-8.7124,Spain,296692.0
Jember,-8.1727,113.6873,Indonesia,298585.0
Bahía Blanca,-38.7167,-62.2667,Argentina,299101.0
İskenderun,36.5804,36.17,Turkey,297943.0
Al Mubarraz,25.41,49.5808,Saudi Arabia,298562.0
Petrópolis,-22.505,-43.1789,Brazil,298142.0
Al Kharj,24.1556,47.312,Saudi Arabia,298428.0
Rāmpur,28.8154,79.025,India,296418.0
Najrān,17.4917,44.1322,Saudi Arabia,298288.0
Chernihiv,51.4939,31.2947,Ukraine,294522.0
Yangsan,35.3386,129.0386,"Korea, South",297532.0
Comilla,23.45,91.2,Bangladesh,296010.0
Oyster Bay,40.7845,-73.5139,United States,297822.0
Valparaíso,-33.0458,-71.6197,Chile,296655.0
Augsburg,48.3717,10.8983,Germany,295135.0
Mbeya,-8.9,33.45,Tanzania,291649.0
Limeira,-22.5647,-47.4017,Brazil,296440.0
Rangpur,25.75,89.25,Bangladesh,294265.0
Shiliguri,26.72,88.42,India,294546.0
Aksaray,38.3686,34.0297,Turkey,295351.0
Navotas,14.6667,120.9417,Philippines,249463.0
Çorum,40.5489,34.9533,Turkey,294807.0
Bāli,22.65,88.34,India,293373.0
Ismailia,30.5833,32.2667,Egypt,293184.0
Vila Teixeira da Silva,-12.1958,15.8556,Angola,294494.0
Pānīpat,29.4004,76.97,India,292808.0
Delmas,18.55,-72.3,Haiti,284079.0
Batna,35.55,6.1667,Algeria,290645.0
Kunp’o,37.3675,126.9469,"Korea, South",285721.0
Tambov,52.7167,41.4333,Russia,290365.0
Iaşi,47.1622,27.5889,Romania,290422.0
Thiès,14.7833,-16.9167,Senegal,293001.0
Makurdi,7.73,8.53,Nigeria,292645.0
Kherson,46.6333,32.6,Ukraine,291428.0
Groznyy,43.3125,45.6986,Russia,291687.0
Hong’an,47.21,123.61,China,289999.0
Bafoussam,5.4667,10.4167,Cameroon,290768.0
Resistencia,-27.4514,-58.9867,Argentina,291720.0
Braşov,45.65,25.6,Romania,290743.0
Kassel,51.3166,9.4912,Germany,289924.0
Juliaca,-15.4908,-70.1269,Peru,291189.0
Karīmnagar,18.4333,79.15,India,289821.0
Morioka,39.6833,141.15,Japan,290553.0
Sétif,36.19,5.41,Algeria,288461.0
Trenton,40.2236,-74.7641,United States,290716.0
Kaunas,54.9,23.9333,Lithuania,288466.0
Mulhouse,47.75,7.34,France,285121.0
Sekondi,4.9433,-1.704,Ghana,286248.0
Lincoln,40.809,-96.6788,United States,289490.0
Bhuj,23.2504,69.81,India,289429.0
Ichalkaranji,16.7,74.47,India,287570.0
Tirupati,13.65,79.42,India,287482.0
Springfield,37.1943,-93.2916,United States,288090.0
Anchorage,61.1508,-149.1091,United States,288000.0
Punto Fijo,11.7167,-70.1833,Venezuela,287558.0
Sincelejo,9.2994,-75.3958,Colombia,286716.0
Plano,33.0502,-96.7487,United States,287677.0
Irvine,33.6772,-117.7738,United States,287401.0
Camaçari,-12.6978,-38.3239,Brazil,286919.0
Orléans,47.9025,1.909,France,282828.0
Binangonan,14.4514,121.1919,Philippines,282474.0
Suzano,-23.5428,-46.3108,Brazil,285280.0
Hospet,15.2667,76.4,India,286007.0
Ostrava,49.8356,18.2925,Czechia,284982.0
